"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 28 13:52:10 GMT 2022","Thu Apr 28 13:52:10 GMT 2022","147","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params1-False]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 28 13:51:54 GMT 2022","Thu Apr 28 13:51:55 GMT 2022","832","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_estimate_gas[params0-False]","Verify implemented rpc calls work eth_estimateGas"
"skipped","Thu Apr 28 13:55:09 GMT 2022","Thu Apr 28 13:55:09 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_spl_wrapped_account_from_one_account_to_another","Send spl wrapped account from one account to another"
"skipped","Thu Apr 28 13:55:13 GMT 2022","Thu Apr 28 13:55:13 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_spl","Send zero: spl (with different precision)"
"passed","Thu Apr 28 13:52:40 GMT 2022","Thu Apr 28 13:52:48 GMT 2022","8133","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[5]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 28 13:52:13 GMT 2022","Thu Apr 28 13:52:13 GMT 2022","143","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getFilterChanges]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:54:43 GMT 2022","Thu Apr 28 13:54:45 GMT 2022","1871","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_send_raw_transaction","Verify implemented rpc calls work eth_sendRawTransaction"
"skipped","Thu Apr 28 13:55:11 GMT 2022","Thu Apr 28 13:55:11 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1]","Send more than exist on account: spl (with different precision)"
"passed","Thu Apr 28 13:52:48 GMT 2022","Thu Apr 28 13:52:56 GMT 2022","8144","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[999]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 28 13:55:14 GMT 2022","Thu Apr 28 13:55:14 GMT 2022","746","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_neon","Send negative sum from account: neon"
"passed","Thu Apr 28 13:52:12 GMT 2022","Thu Apr 28 13:52:12 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_hash_rate[param-True]","Verify implemented rpc calls work eth_hashrate"
"passed","Thu Apr 28 13:52:11 GMT 2022","Thu Apr 28 13:52:11 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params0-False]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 13:52:08 GMT 2022","Thu Apr 28 13:52:08 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_mining[param-True]","Verify implemented rpc calls work eth_mining"
"passed","Thu Apr 28 13:51:54 GMT 2022","Thu Apr 28 13:51:54 GMT 2022","308","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_call[params0-False]","Verify implemented rpc calls work eth_call"
"passed","Thu Apr 28 13:52:02 GMT 2022","Thu Apr 28 13:52:05 GMT 2022","2270","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_hash","Verify implemented rpc calls work eth_getBlockByHash"
"passed","Thu Apr 28 13:52:30 GMT 2022","Thu Apr 28 13:52:31 GMT 2022","154","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_create_account_and_get_balance","Create account and get balance"
"passed","Thu Apr 28 13:52:15 GMT 2022","Thu Apr 28 13:52:15 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_submitWork]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:54:41 GMT 2022","Thu Apr 28 13:54:43 GMT 2022","1956","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_get_transaction_count","Verify implemented rpc calls work eth_getTransactionCount"
"passed","Thu Apr 28 13:52:16 GMT 2022","Thu Apr 28 13:52:16 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_newGroup]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:13 GMT 2022","Thu Apr 28 13:52:13 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getStorage]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:14 GMT 2022","Thu Apr 28 13:52:14 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_newFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:05 GMT 2022","Thu Apr 28 13:52:05 GMT 2022","144","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.LATEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Thu Apr 28 13:55:11 GMT 2022","Thu Apr 28 13:55:11 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[1.1]","Send more than exist on account: spl (with different precision)"
"passed","Thu Apr 28 13:52:13 GMT 2022","Thu Apr 28 13:52:13 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleByBlockHashAndIndex]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:53:12 GMT 2022","Thu Apr 28 13:53:27 GMT 2022","14753","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[1]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 28 13:52:12 GMT 2022","Thu Apr 28 13:52:12 GMT 2022","140","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_coinbase]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:05 GMT 2022","Thu Apr 28 13:52:06 GMT 2022","145","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.PENDING-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"skipped","Thu Apr 28 13:52:31 GMT 2022","Thu Apr 28 13:52:31 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_ERC20","Check tokens in wallet: ERC20"
"passed","Thu Apr 28 13:52:15 GMT 2022","Thu Apr 28 13:52:15 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_submitHashrate]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:10 GMT 2022","Thu Apr 28 13:52:10 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[None-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 28 13:52:14 GMT 2022","Thu Apr 28 13:52:14 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_sign]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:51:55 GMT 2022","Thu Apr 28 13:51:55 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_estimate_gas[params1-True]","Verify implemented rpc calls work eth_estimateGas"
"passed","Thu Apr 28 13:52:00 GMT 2022","Thu Apr 28 13:52:00 GMT 2022","804","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_numbers","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 13:52:16 GMT 2022","Thu Apr 28 13:52:16 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_newFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:08 GMT 2022","Thu Apr 28 13:52:08 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_syncing[param-True]","Verify implemented rpc calls work eth_syncing"
"passed","Thu Apr 28 13:52:10 GMT 2022","Thu Apr 28 13:52:10 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params2-True]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 28 13:52:05 GMT 2022","Thu Apr 28 13:52:05 GMT 2022","152","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.EARLIEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 13:52:13 GMT 2022","Thu Apr 28 13:52:13 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleCountByBlockNumber]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:14 GMT 2022","Thu Apr 28 13:52:14 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_protocolVersion]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:56 GMT 2022","Thu Apr 28 13:53:04 GMT 2022","8262","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[10000]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 28 13:52:09 GMT 2022","Thu Apr 28 13:52:09 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_hash[None-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByHash"
"passed","Thu Apr 28 13:52:07 GMT 2022","Thu Apr 28 13:52:07 GMT 2022","146","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_block_number","Verify implemented rpc calls work work eth_blockNumber"
"passed","Thu Apr 28 13:52:09 GMT 2022","Thu Apr 28 13:52:09 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_sha3[None-True]","Verify implemented rpc calls work web3_sha3"
"passed","Thu Apr 28 13:52:08 GMT 2022","Thu Apr 28 13:52:08 GMT 2022","140","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_mining[None-False]","Verify implemented rpc calls work eth_mining"
"passed","Thu Apr 28 13:51:55 GMT 2022","Thu Apr 28 13:51:55 GMT 2022","200","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_gas_price","Verify implemented rpc calls work eth_gasPrice"
"passed","Thu Apr 28 13:52:10 GMT 2022","Thu Apr 28 13:52:10 GMT 2022","155","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[earliest-False]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 28 13:52:08 GMT 2022","Thu Apr 28 13:52:08 GMT 2022","174","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_syncing[None-False]","Verify implemented rpc calls work eth_syncing"
"passed","Thu Apr 28 13:52:13 GMT 2022","Thu Apr 28 13:52:13 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleByBlockNumberAndIndex]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:55:09 GMT 2022","Thu Apr 28 13:55:10 GMT 2022","1477","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[11000501]","Send more than exist on account: neon"
"passed","Thu Apr 28 13:52:05 GMT 2022","Thu Apr 28 13:52:05 GMT 2022","146","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.PENDING-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 13:53:27 GMT 2022","Thu Apr 28 13:53:42 GMT 2022","15366","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[5]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 28 13:52:12 GMT 2022","Thu Apr 28 13:52:12 GMT 2022","143","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileLLL]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:12 GMT 2022","Thu Apr 28 13:52:12 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileSerpent]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:08 GMT 2022","Thu Apr 28 13:52:09 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_sha3[0x6865-False]","Verify implemented rpc calls work web3_sha3"
"passed","Thu Apr 28 13:52:31 GMT 2022","Thu Apr 28 13:52:40 GMT 2022","8140","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[1]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 28 13:52:09 GMT 2022","Thu Apr 28 13:52:09 GMT 2022","170","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_hash[32-False]","Verify implemented rpc calls work eth_getBlockTransactionCountByHash"
"passed","Thu Apr 28 13:54:12 GMT 2022","Thu Apr 28 13:54:27 GMT 2022","14807","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[20000]","Verify faucet work (request drop for several accounts): double request"
"skipped","Thu Apr 28 13:55:11 GMT 2022","Thu Apr 28 13:55:11 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_erc20","Send more than exist on account: ERC20"
"passed","Thu Apr 28 13:52:15 GMT 2022","Thu Apr 28 13:52:15 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_getMessages]","Check that endpoint was not implemented"
