"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 28 13:52:10 GMT 2022","Thu Apr 28 13:52:11 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params3-True]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 28 13:52:15 GMT 2022","Thu Apr 28 13:52:15 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_addToGroup]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:12 GMT 2022","Thu Apr 28 13:52:12 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_accounts]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:11 GMT 2022","Thu Apr 28 13:52:11 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_work[param-True]","Verify implemented rpc calls work eth_getWork"
"passed","Thu Apr 28 13:52:02 GMT 2022","Thu Apr 28 13:52:02 GMT 2022","140","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_version","Verify implemented rpc calls work work net_version"
"passed","Thu Apr 28 13:52:11 GMT 2022","Thu Apr 28 13:52:11 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_work[None-False]","Verify implemented rpc calls work eth_getWork"
"passed","Thu Apr 28 13:52:15 GMT 2022","Thu Apr 28 13:52:15 GMT 2022","143","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_uninstallFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:11 GMT 2022","Thu Apr 28 13:52:11 GMT 2022","140","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params3-True]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 13:52:15 GMT 2022","Thu Apr 28 13:52:15 GMT 2022","140","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_getFilterChanges]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:51:55 GMT 2022","Thu Apr 28 13:51:56 GMT 2022","806","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 13:52:12 GMT 2022","Thu Apr 28 13:52:12 GMT 2022","146","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_compileSolidity]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:55:16 GMT 2022","Thu Apr 28 13:55:17 GMT 2022","1267","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_token_to_non_existing_address","Send token to a non-existing address"
"passed","Thu Apr 28 13:55:04 GMT 2022","Thu Apr 28 13:55:06 GMT 2022","2004","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1]","Send neon from one account to another"
"passed","Thu Apr 28 13:52:14 GMT 2022","Thu Apr 28 13:52:14 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_newPendingTransactionFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:55:11 GMT 2022","Thu Apr 28 13:55:13 GMT 2022","2069","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_neon","Send zero: neon"
"passed","Thu Apr 28 13:51:58 GMT 2022","Thu Apr 28 13:51:59 GMT 2022","810","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-earliest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 13:52:11 GMT 2022","Thu Apr 28 13:52:12 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_hash_rate[None-False]","Verify implemented rpc calls work eth_hashrate"
"passed","Thu Apr 28 13:52:07 GMT 2022","Thu Apr 28 13:52:07 GMT 2022","160","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_storage_at[params0-False]","Verify implemented rpc calls work eht_getStorageAt"
"passed","Thu Apr 28 13:52:12 GMT 2022","Thu Apr 28 13:52:13 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getCompilers]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:16 GMT 2022","Thu Apr 28 13:52:16 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_uninstallFilter]","Check that endpoint was not implemented"
"skipped","Thu Apr 28 13:55:11 GMT 2022","Thu Apr 28 13:55:11 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_spl[0.01]","Send more than exist on account: spl (with different precision)"
"passed","Thu Apr 28 13:52:11 GMT 2022","Thu Apr 28 13:52:11 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params1-False]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 13:55:14 GMT 2022","Thu Apr 28 13:55:16 GMT 2022","1270","integration.tests.basic","test_transfers","TestTransfer","","","test_send_token_to_an_invalid_address","Send token to an invalid address"
"passed","Thu Apr 28 13:55:02 GMT 2022","Thu Apr 28 13:55:04 GMT 2022","2260","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[0.01]","Send neon from one account to another"
"skipped","Thu Apr 28 13:55:14 GMT 2022","Thu Apr 28 13:55:14 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_erc20","Send negative sum from account: ERC20"
"passed","Thu Apr 28 13:52:08 GMT 2022","Thu Apr 28 13:52:08 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_peer_count[param-True]","Verify implemented rpc calls work net_peerCount"
"passed","Thu Apr 28 13:52:09 GMT 2022","Thu Apr 28 13:52:09 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_hash[16-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByHash"
"passed","Thu Apr 28 13:53:57 GMT 2022","Thu Apr 28 13:54:12 GMT 2022","14800","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[10000]","Verify faucet work (request drop for several accounts): double request"
"passed","Thu Apr 28 13:52:01 GMT 2022","Thu Apr 28 13:52:02 GMT 2022","829","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_code","Verify implemented rpc calls work eth_getCode"
"passed","Thu Apr 28 13:52:07 GMT 2022","Thu Apr 28 13:52:08 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_storage_at[params1-True]","Verify implemented rpc calls work eht_getStorageAt"
"passed","Thu Apr 28 13:52:13 GMT 2022","Thu Apr 28 13:52:13 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_getUncleCountByBlockHash]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:51:57 GMT 2022","Thu Apr 28 13:51:58 GMT 2022","806","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[pending-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 13:52:15 GMT 2022","Thu Apr 28 13:52:16 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_hasIdentity]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:05 GMT 2022","Thu Apr 28 13:52:05 GMT 2022","164","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.LATEST-False]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 13:52:14 GMT 2022","Thu Apr 28 13:52:14 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_sendTransaction]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:11 GMT 2022","Thu Apr 28 13:52:11 GMT 2022","140","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_number_and_index[params2-True]","Verify implemented rpc calls work eth_getTransactionByBlockNumberAndIndex"
"passed","Thu Apr 28 13:54:47 GMT 2022","Thu Apr 28 13:54:48 GMT 2022","1665","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_get_transaction_receipt","Verify implemented rpc calls work eth_getTransactionReceipt"
"passed","Thu Apr 28 13:52:16 GMT 2022","Thu Apr 28 13:52:16 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_post]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:08 GMT 2022","Thu Apr 28 13:52:08 GMT 2022","160","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_net_peer_count[None-False]","Verify implemented rpc calls work net_peerCount"
"passed","Thu Apr 28 13:52:09 GMT 2022","Thu Apr 28 13:52:10 GMT 2022","183","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[32-False]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 28 13:52:10 GMT 2022","Thu Apr 28 13:52:10 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_transaction_count_by_number[param-True]","Verify implemented rpc calls work eth_getBlockTransactionCountByNumber"
"passed","Thu Apr 28 13:54:45 GMT 2022","Thu Apr 28 13:54:47 GMT 2022","1772","integration.tests.basic","test_transactions","TestRpcCallsTransactions","","","test_rpc_call_eth_get_transaction_by_hash","Verify implemented rpc calls work eth_getTransactionByHash"
"passed","Thu Apr 28 13:52:31 GMT 2022","Thu Apr 28 13:52:31 GMT 2022","809","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_neon","Check tokens in wallet: neon"
"passed","Thu Apr 28 13:53:04 GMT 2022","Thu Apr 28 13:53:12 GMT 2022","8145","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_single_request[20000]","Verify faucet work (request drop for several accounts): single request"
"passed","Thu Apr 28 13:52:13 GMT 2022","Thu Apr 28 13:52:14 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_newBlockFilter]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:00 GMT 2022","Thu Apr 28 13:52:01 GMT 2022","808","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_balance","Verify implemented rpc calls work eth_getBalance"
"passed","Thu Apr 28 13:52:10 GMT 2022","Thu Apr 28 13:52:10 GMT 2022","169","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_transaction_by_block_hash_and_index[params0-False]","Verify implemented rpc calls work eth_getTransactionByBlockHashAndIndex"
"passed","Thu Apr 28 13:55:10 GMT 2022","Thu Apr 28 13:55:11 GMT 2022","1366","integration.tests.basic","test_transfers","TestTransfer","","","test_send_more_than_exist_on_account_neon[10000000.1]","Send more than exist on account: neon"
"passed","Thu Apr 28 13:51:54 GMT 2022","Thu Apr 28 13:51:54 GMT 2022","143","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_call[params1-True]","Verify implemented rpc calls work eth_call"
"skipped","Thu Apr 28 13:55:14 GMT 2022","Thu Apr 28 13:55:14 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_send_negative_sum_from_account_spl","Send negative sum from account: spl (with different precision)"
"skipped","Thu Apr 28 13:52:31 GMT 2022","Thu Apr 28 13:52:31 GMT 2022","0","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_check_tokens_in_wallet_spl","Check tokens in wallet: spl"
"passed","Thu Apr 28 13:51:59 GMT 2022","Thu Apr 28 13:52:00 GMT 2022","808","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[latest-pending]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 13:51:56 GMT 2022","Thu Apr 28 13:51:57 GMT 2022","810","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_logs_via_tags[earliest-latest]","Verify implemented rpc calls work eth_getLogs"
"passed","Thu Apr 28 13:52:16 GMT 2022","Thu Apr 28 13:52:16 GMT 2022","142","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_newIdentity]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:52:05 GMT 2022","Thu Apr 28 13:52:05 GMT 2022","210","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_umber_via_tags[Tag.EARLIEST-True]","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 13:52:02 GMT 2022","Thu Apr 28 13:52:02 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_client_version","Verify implemented rpc calls work web3_clientVersion"
"passed","Thu Apr 28 13:52:06 GMT 2022","Thu Apr 28 13:52:07 GMT 2022","1576","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_eth_get_block_by_number_via_numbers","Verify implemented rpc calls work eth_getBlockByNumber"
"passed","Thu Apr 28 13:55:13 GMT 2022","Thu Apr 28 13:55:13 GMT 2022","0","integration.tests.basic","test_transfers","TestTransfer","","","test_zero_erc20","Send zero: ERC20"
"passed","Thu Apr 28 13:52:14 GMT 2022","Thu Apr 28 13:52:15 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[eth_signTransaction]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:55:06 GMT 2022","Thu Apr 28 13:55:09 GMT 2022","2129","integration.tests.basic","test_transfers","TestTransfer","","","test_send_neon_from_one_account_to_another[1.1]","Send neon from one account to another"
"passed","Thu Apr 28 13:52:09 GMT 2022","Thu Apr 28 13:52:09 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_web3_sha3[param-True]","Verify implemented rpc calls work web3_sha3"
"passed","Thu Apr 28 13:52:16 GMT 2022","Thu Apr 28 13:52:16 GMT 2022","141","integration.tests.basic","test_rpc_calls","TestRpcCalls","","","test_check_unsupported_methods[shh_version]","Check that endpoint was not implemented"
"passed","Thu Apr 28 13:53:42 GMT 2022","Thu Apr 28 13:53:57 GMT 2022","14839","integration.tests.basic","test_single_client_activity","TestSingleClient","","","test_verify_faucet_work_multiple_requests[999]","Verify faucet work (request drop for several accounts): double request"
